timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692910614524,8610,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-69,text,true,,86773,155,29,29,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8392,0,259
1692910614814,8329,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-98,text,true,,89866,155,28,28,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8189,0,247
1692910614821,8349,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-100,text,true,,92959,155,27,27,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8124,0,240
1692910614764,8433,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-93,text,true,,77494,155,26,26,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8278,0,237
1692910614321,9116,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-48,text,true,,80587,155,25,25,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8952,0,1249
1692910614554,8922,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-74,text,true,,96052,155,24,24,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8708,0,254
1692910614823,8730,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-99,text,true,,102239,155,23,23,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8513,0,249
1692910614762,9134,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-94,text,true,,83680,155,22,22,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8603,0,241
1692910614638,9299,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-80,text,true,,86773,155,21,21,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9148,0,234
1692910614801,9164,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-97,text,true,,99145,155,20,20,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8486,0,291
1692910614626,9519,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-81,text,true,,89866,155,19,19,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9296,0,246
1692910614652,9504,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-82,text,true,,92959,155,18,18,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9292,0,235
1692910614673,9582,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-84,text,true,,96052,155,17,17,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9439,0,229
1692910614694,9641,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-86,text,true,,102239,155,16,16,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9434,0,243
1692910614651,9851,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-83,text,true,,105332,155,15,15,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9607,0,251
1692910614448,10195,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-61,text,true,,105332,155,14,14,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9929,0,1232
1692910614783,9892,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-95,text,true,,108425,155,13,13,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9697,0,239
1692910614794,10106,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-96,text,true,,111518,155,12,12,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9733,0,228
1692910614668,10272,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-85,text,true,,99145,155,11,11,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9499,0,234
1692910614715,10231,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-88,text,true,,108425,155,10,10,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9673,0,232
1692910614593,10393,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-78,text,true,,123890,155,9,9,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,10152,0,233
1692910614578,10442,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-76,text,true,,120797,155,8,8,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,10018,0,247
1692910614733,10360,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-89,text,true,,111518,155,7,7,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9743,0,246
1692910614734,10392,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-90,text,true,,123890,155,6,6,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9961,0,250
1692910614607,10589,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-77,text,true,,114611,155,5,5,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9927,0,244
1692910614757,10584,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-92,text,true,,117704,155,4,4,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9886,0,247
1692910614354,11091,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-52,text,true,,117704,155,3,3,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,10195,0,494
1692910614244,11204,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-41,text,true,,120797,155,2,2,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,10686,0,1444
1692910614743,10837,HTTP Request - GET,200,OK,Thread Group - Request - 100 users 1-91,text,true,,114611,155,1,1,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,9954,0,264
